"","cccn","restrictions","productcode","sic","sic_label","id","year","import","tariff","qr","hci","chemicals","patroleum","primary_metal","mfg_metal","machines","electric_eq","transport_eq"
"121",1206,"111111",100,139,"Field crops, except cash grains, nspf",21,74,"0.3",40,1,0,0,0,0,0,0,0,0
"122",1207,"000000",201,139,"Field crops, except cash grains, nspf",22,74,"2.3",25,0,0,0,0,0,0,0,0,0
"123",1208,"111111",100,139,"Field crops, except cash grains, nspf",23,74,"0.1",20,1,0,0,0,0,0,0,0,0
"124",1209,"000000",108,139,"Field crops, except cash grains, nspf",24,74,"0",15,0,0,0,0,0,0,0,0,0
"125",1210,"000000",108,139,"Field crops, except cash grains, nspf",25,74,"0",15,0,0,0,0,0,0,0,0,0
"126",1403,"000000",201,139,"Field crops, except cash grains, nspf",26,74,"0",30,0,0,0,0,0,0,0,0,0
"127",1405,"111111",201,139,"Field crops, except cash grains, nspf",27,74,"0.4",30,1,0,0,0,0,0,0,0,0
"128",5401,"100000",209,139,"Field crops, except cash grains, nspf",28,74,"1.3",18,0,0,0,0,0,0,0,0,0
"129",5701,"000000",209,139,"Field crops, except cash grains, nspf",29,74,"0",20,0,0,0,0,0,0,0,0,0
"130",5702,"000000",209,139,"Field crops, except cash grains, nspf",30,74,"0.9",15,0,0,0,0,0,0,0,0,0
"131",5703,"000000",209,139,"Field crops, except cash grains, nspf",31,74,"0",15,0,0,0,0,0,0,0,0,0
"132",5704,"000000",209,139,"Field crops, except cash grains, nspf",32,74,"0.7",15,0,0,0,0,0,0,0,0,0
"133",706,"001111",100,139,"Field crops, except cash grains, nspf",18,76,"0.8",40,1,0,0,0,0,0,0,0,0
"134",1201,"111111",110,139,"Field crops, except cash grains, nspf",19,76,"45.2",35,1,0,0,0,0,0,0,0,0
"135",1203,"111111",201,139,"Field crops, except cash grains, nspf",20,76,"0.4",20,1,0,0,0,0,0,0,0,0
"136",1206,"111111",100,139,"Field crops, except cash grains, nspf",21,76,"0.1",40,1,0,0,0,0,0,0,0,0
"137",1207,"000000",201,139,"Field crops, except cash grains, nspf",22,76,"2.5",10,0,0,0,0,0,0,0,0,0
"138",1208,"111111",100,139,"Field crops, except cash grains, nspf",23,76,"0.3",20,1,0,0,0,0,0,0,0,0
"139",1209,"000000",108,139,"Field crops, except cash grains, nspf",24,76,"0",20,0,0,0,0,0,0,0,0,0
"140",1210,"000000",108,139,"Field crops, except cash grains, nspf",25,76,"0",20,0,0,0,0,0,0,0,0,0
"141",1403,"000000",201,139,"Field crops, except cash grains, nspf",26,76,"0",30,0,0,0,0,0,0,0,0,0
"142",1405,"111111",201,139,"Field crops, except cash grains, nspf",27,76,"0.5",25,1,0,0,0,0,0,0,0,0
"143",5401,"100000",209,139,"Field crops, except cash grains, nspf",28,76,"1.1",18,0,0,0,0,0,0,0,0,0
"144",5701,"000000",209,139,"Field crops, except cash grains, nspf",29,76,"0",20,0,0,0,0,0,0,0,0,0
"145",5702,"000000",209,139,"Field crops, except cash grains, nspf",30,76,"1",20,0,0,0,0,0,0,0,0,0
"146",5703,"000000",209,139,"Field crops, except cash grains, nspf",31,76,"0.1",15,0,0,0,0,0,0,0,0,0
"147",5704,"000000",209,139,"Field crops, except cash grains, nspf",32,76,"0.6",15,0,0,0,0,0,0,0,0,0
"148",706,"001111",100,139,"Field crops, except cash grains, nspf",18,78,"1.7",40,1,0,0,0,0,0,0,0,0
"149",1201,"111111",110,139,"Field crops, except cash grains, nspf",19,78,"77.8",30,1,0,0,0,0,0,0,0,0
"150",1203,"111111",201,139,"Field crops, except cash grains, nspf",20,78,"1.2",20,1,0,0,0,0,0,0,0,0
"151",1206,"111111",100,139,"Field crops, except cash grains, nspf",21,78,"0.6",40,1,0,0,0,0,0,0,0,0
"152",1207,"000000",201,139,"Field crops, except cash grains, nspf",22,78,"4.7",20,0,0,0,0,0,0,0,0,0
"153",1208,"111111",100,139,"Field crops, except cash grains, nspf",23,78,"0.7",40,1,0,0,0,0,0,0,0,0
"154",1209,"000000",108,139,"Field crops, except cash grains, nspf",24,78,"0",20,0,0,0,0,0,0,0,0,0
"155",1210,"000000",108,139,"Field crops, except cash grains, nspf",25,78,"0",20,0,0,0,0,0,0,0,0,0
"156",1403,"000000",201,139,"Field crops, except cash grains, nspf",26,78,"0.1",20,0,0,0,0,0,0,0,0,0
"157",1405,"111111",201,139,"Field crops, except cash grains, nspf",27,78,"1.4",25,1,0,0,0,0,0,0,0,0
"158",5401,"100000",209,139,"Field crops, except cash grains, nspf",28,78,"1.5",20,0,0,0,0,0,0,0,0,0
"159",5701,"000000",209,139,"Field crops, except cash grains, nspf",29,78,"0",20,0,0,0,0,0,0,0,0,0
"160",5702,"000000",209,139,"Field crops, except cash grains, nspf",30,78,"1.3",20,0,0,0,0,0,0,0,0,0
"161",5703,"000000",209,139,"Field crops, except cash grains, nspf",31,78,"0.4",20,0,0,0,0,0,0,0,0,0
"162",5704,"000000",209,139,"Field crops, except cash grains, nspf",32,78,"0.8",20,0,0,0,0,0,0,0,0,0
"163",706,"001111",100,139,"Field crops, except cash grains, nspf",18,80,"0",40,1,0,0,0,0,0,0,0,0
"164",1201,"111111",110,139,"Field crops, except cash grains, nspf",19,80,"197.5",20,1,0,0,0,0,0,0,0,0
"165",1203,"111111",201,139,"Field crops, except cash grains, nspf",20,80,"1.5",0,1,0,0,0,0,0,0,0,0
