id	code	year	hci	rca_core	export_sh	import_sh	rca_dummy
511	0511	1967	0	0	0	.0000655	0
511	0511	1968	0	0	0	.000081	0
511	0511	1969	0	0	0	.0000681	0
511	0511	1970	0	6.78e-06	1.44e-06	.0011525	0
511	0511	1971	0	0	0	.0007571	0
511	0511	1972	0	3.32e-06	6.78e-07	.0096374	0
512	0512	1965	1	0	0	.0006043	0
512	0512	1966	1	0	0	.0000216	0
512	0512	1967	1	0	0	4.82e-06	0
512	0512	1968	1	2.87e-06	2.20e-07	.000048	0
512	0512	1969	1	.0058381	.00045	7.14e-07	0
512	0512	1970	1	0	0	5.35e-06	0
512	0512	1971	1	.000011	8.43e-07	.0000251	0
512	0512	1972	1	0	0	.0000723	0
513	0513	1965	1	0	0	.0001003	0
513	0513	1966	1	0	0	.0185483	0
513	0513	1967	1	0	0	.0246503	0
513	0513	1968	1	6.55e-07	2.20e-07	.0165421	0
513	0513	1969	1	5.11e-06	1.61e-06	.0216382	0
513	0513	1970	1	1.32e-06	3.59e-07	.0237404	0
513	0513	1971	1	0	0	.0245814	0
513	0513	1972	1	0	0	.1325732	0
514	0514	1965	0	.6552762	.1120661	2.89e-06	0
514	0514	1966	0	.6897923	.1283833	.0000469	0
514	0514	1967	0	.7927426	.1362051	.0006318	0
514	0514	1968	0	.744926	.1144574	0	0
514	0514	1969	0	.8016736	.1184385	0	0
514	0514	1970	0	.5379719	.0627755	6.92e-06	0
514	0514	1971	0	.2494224	.034356	0	0
514	0514	1972	0	.58468	.0796415	4.76e-07	0
515	0515	1965	0	0	0	.0000445	0
515	0515	1966	0	0	0	7.07e-06	0
515	0515	1967	0	.0000785	6.88e-06	.0000404	0
515	0515	1968	0	0	0	0	0
515	0515	1969	0	.0000191	1.45e-06	0	0
515	0515	1970	0	0	0	0	0
515	0515	1971	0	2.50e-06	1.87e-07	0	0
515	0515	1972	0	.0000108	6.16e-07	0	0
517	0517	1965	0	.0741323	.0189277	6.67e-07	0
517	0517	1966	0	.0779097	.0186069	.0000129	0
517	0517	1967	0	.066321	.0144371	.0003662	0
517	0517	1968	0	.0152742	.0034921	.0002242	0
517	0517	1969	0	.0302245	.0064341	.0000741	0
517	0517	1970	0	.0595815	.0110047	8.53e-06	0
517	0517	1971	0	.0260635	.0048858	.0002833	0
517	0517	1972	0	.0189919	.0032623	.0002193	0
519	0519	1965	0	.1784396	.0363999	.0001566	0
519	0519	1966	0	.0723331	.0144713	.0000231	0
519	0519	1967	0	.0339844	.0068241	.0000398	0
519	0519	1968	0	.0199541	.0033616	.0000177	0
519	0519	1969	0	.0575484	.0097685	0	0
519	0519	1970	0	.0949205	.0163157	.0000595	0
519	0519	1971	0	.0744085	.0137921	.0001547	0
519	0519	1972	0	.1637179	.0299506	.000198	0
520	0520	1965	0	.0332301	.0036532	.0007313	0
520	0520	1966	0	.0018822	.0002202	.0008147	0
520	0520	1967	0	.0389502	.0040893	.0012289	0
520	0520	1968	0	.0001747	.0000169	.0020896	0
520	0520	1969	0	.0079555	.0006892	.0022262	0
520	0520	1970	0	.0003204	.000025	.005914	0
520	0520	1971	0	.0018045	.0001311	.0097571	0
520	0520	1972	0	.0076841	.0005324	.0097511	0
532	0532	1965	0	0	0	.0022393	0
532	0532	1966	0	.0902365	.0009061	.0017372	0
532	0532	1967	0	.0000303	3.13e-07	.0016786	0
532	0532	1968	0	0	0	.0006065	0
532	0532	1969	0	.540151	.0047077	.000314	0
532	0532	1970	0	0	0	.000665	0
532	0532	1971	0	.0149213	.0001123	.0000536	0
532	0532	1972	0	.2754138	.0022867	.0000523	0
533	0533	1965	0	.000167	2.86e-06	.0015176	0
533	0533	1966	0	.0128066	.0002009	.0006141	0
533	0533	1967	0	0	0	.0009553	0
533	0533	1968	0	0	0	.0009061	0
533	0533	1969	0	0	0	.0012959	0
533	0533	1970	0	0	0	.0034044	0
533	0533	1971	0	0	0	.0012677	0
533	0533	1972	0	.0091456	.0001339	.0017931	0
535	0535	1965	0	.0050889	.0003769	.0122841	0
