id	code	year	hci	ppi	est	grossoutput	inv_tot	valueadded	workers	y_n	avg_size	lab_sh	y_sh	hci_share_use_tot_0	hci_share_make_tot_0	lf_hci_link_use_0	lf_hci_link_make_0
31141	"31141"	1972	0	5.6218	32	39293.47	283.07086	12291.44	3514	3.4978478	109.8125	.3241449	.1280682	.0114565	0	.2460024	1.13e-06
31142	"31142"	1970	0	5.6205	512	67805.35	366.51085	25567.12	7390	3.4596915	14.433594	.7811385	.3590368	.0176856	0	.1462035	.0028629
31142	"31142"	1971	0	5.8906	515	86171.19	246.66588	35819.78	7731	4.633266	15.01165	.8365616	.4251224	.0176856	0	.1462035	.0028629
31142	"31142"	1972	0	5.6218	515	168753.8	2900.7468	54466.54	6317	8.6222165	12.266019	.5827045	.5675035	.0176856	0	.1462035	.0028629
31143	"31143"	1970	0	12.2811	45	11578.77	1024.3508	5748.671	2854	2.0142504	63.422222	.3016738	.0807281	.0138817	0	.0796785	.0040807
31143	"31143"	1971	0	12.328	36	8679.429	341.06887	3512.33	1191	2.9490593	33.083333	.1288766	.0416856	.0138817	0	.0796785	.0040807
31143	"31143"	1972	0	12.1929	42	11055.61	370.61855	4396.001	1329	3.307751	31.642857	.1225921	.0458033	.0138817	0	.0796785	.0040807
31151	"31151"	1970	0	9.0571	21	2186.13	162.89371	1534.708	266	5.7695772	12.666667	.0281168	.0215518	.0594837	.0255751	.1933884	.0476544
31151	"31151"	1971	0	10.1363	21	217.0417	0	98.65533	100	.98655327	4.7619048	.0108209	.0011709	.0594837	.0255751	.1933884	.0476544
31151	"31151"	1972	0	11.0076	12	3388.568	14.591282	1099.241	825	1.3324128	68.75	.0761012	.0114533	.0594837	.0255751	.1933884	.0476544
31152	"31152"	1970	0	9.0571	96	30362.92	2186.5348	7463.757	1670	4.4693159	17.395833	.1765225	.1048129	.0152853	.0011127	.1486855	.0279002
31152	"31152"	1971	0	10.1363	97	48163.53	6373.7246	9826.071	1934	5.0806983	19.938144	.2092756	.1166194	.0152853	.0011127	.1486855	.0279002
31152	"31152"	1972	0	11.0076	87	52772.63	376.45506	9211.817	1534	6.0050961	17.632184	.1415021	.0959807	.0152853	.0011127	.1486855	.0279002
31153	"31153"	1970	0	9.0571	10	15788.72	103.37486	5641.982	596	9.4664133	59.6	.0629985	.0792299	.0598198	.2414096	.1558362	.4566056
31153	"31153"	1971	0	10.1363	12	17728.36	313.66155	4409.893	354	12.457325	29.5	.0383059	.0523382	.0598198	.2414096	.1558362	.4566056
31153	"31153"	1972	0	11.0076	11	20504.02	703.29977	7894.546	502	15.726187	45.636364	.0463064	.0822557	.0598198	.2414096	.1558362	.4566056
31161	"31161"	1970	0	4.715	1264	776309.6	3771.616	244793.2	14951	16.373032	11.828323	1.580352	3.437609	.0114409	.0011247	.1052777	.0934532
31161	"31161"	1971	0	5.2698	1209	868970.3	7375.6144	183821	14187	12.957004	11.734491	1.535157	2.181655	.0114409	.0011247	.1052777	.0934532
31161	"31161"	1972	0	6.0254	994	1445232	12945.385	326202.4	15235	21.411382	15.326962	1.405335	3.398802	.0114409	.0011247	.1052777	.0934532
31162	"31162"	1970	0	4.715	0	0	0	0	0	0	0	0	0	.0078137	.0022495	.1412036	.1392076
31162	"31162"	1971	0	5.2698	0	0	0	0	0	0	0	0	0	.0078137	.0022495	.1412036	.1392076
31162	"31162"	1972	0	6.0254	0	0	0	0	0	0	0	0	0	.0078137	.0022495	.1412036	.1392076
31171	"31171"	1970	0	9.5165	268	80018.91	1726.0468	20038.88	8898	2.2520655	33.201493	.9405373	.2814042	.055499	0	.1944328	.0217566
