id	code	year	hci	product_value_share_hci	product_share_hci	ppi	est	grossoutput	inv_tot	valueadded	workers	y_n	avg_size	lab_sh	y_sh	hci_share_use_tot_0	hci_share_make_tot_0	lf_hci_link_use_0	lf_hci_link_make_0
3115	"3115"	1970	0	0	0	9.0571	127	48326.73	784	14651.49	2532	5.7865278	19.937008	.2585515	.2181235	.0448629	.0893658	.16597	.1773867
3115	"3115"	1971	0	0	0	10.1363	130	66108.93	2061	14334.62	2388	6.0027718	18.369231	.2487269	.1783108	.0448629	.0893658	.16597	.1773867
3115	"3115"	1972	0	0	0	11.0076	110	76665.21	306	18214.69	2861	6.3665461	26.009091	.2560924	.1994621	.0448629	.0893658	.16597	.1773867
3117	"3117"	1967	0	.0135152	.0666667	7.63575	330	73522.58	215	25969.94	9061	2.8661235	27.457576	1.189893	.6708443	.0371683	9.92e-06	.1818663	.0185337
3117	"3117"	1968	0	.0135152	.0666667	7.4953	369	129374.4	630	41359.25	13122	3.1519016	35.560976	1.517277	.8501646	.0371683	9.92e-06	.1818663	.0185337
3117	"3117"	1969	0	.0135152	.0666667	7.57935	559	194739.7	907	71048.31	15013	4.7324525	26.856887	1.591658	1.219521	.0371683	9.92e-06	.1818663	.0185337
3117	"3117"	1970	0	.0135152	.0666667	7.76925	716	468861.2	1530	138983.8	25713	5.4051964	35.912011	2.625646	2.069117	.0371683	9.92e-06	.1818663	.0185337
3117	"3117"	1971	0	.0135152	.0666667	8.09945	739	657378	2763	208038.8	23233	8.9544533	31.43843	2.41988	2.587831	.0371683	9.92e-06	.1818663	.0185337
3117	"3117"	1972	0	.0135152	.0666667	8.4415	990	805342.7	3826	253841.2	32572	7.7932319	32.90101	2.915568	2.779717	.0371683	9.92e-06	.1818663	.0185337
3118	"3118"	1967	0	.0034167	.0903541	5.86845	900	372636.7	1145	132811.9	18567	7.1531156	20.63	2.438224	3.430739	.0271439	.0000115	.1595699	.0362258
3118	"3118"	1968	0	.0034167	.0903541	6.1754	877	537017.9	3048	202157	22069	9.1602226	25.164196	2.551805	4.155459	.0271439	.0000115	.1595699	.0362258
3118	"3118"	1969	0	.0034167	.0903541	6.49885	876	675150.2	2671	216438.3	24205	8.9418838	27.631279	2.566182	3.715093	.0271439	.0000115	.1595699	.0362258
3118	"3118"	1970	0	.0034167	.0903541	8.9536	589	432920.8	3102	179972.3	15459	11.641911	26.24618	1.578573	2.679331	.0271439	.0000115	.1595699	.0362258
3118	"3118"	1971	0	.0034167	.0903541	9.523933	594	476588.8	3324	208558.8	14210	14.676903	23.922559	1.480071	2.594299	.0271439	.0000115	.1595699	.0362258
3118	"3118"	1972	0	.0034167	.0903541	10.57453	537	517006.3	4482	216312.1	12837	16.850677	23.905028	1.149059	2.368751	.0271439	.0000115	.1595699	.0362258
31223	"31223"	1967	0	0	0	9.1887	37	11133.24	17	2807.797	1044	2.6894604	28.216216	.1370984	.0725298	.0139119	0	.0936722	.2753049
31223	"31223"	1968	0	0	0	12.35835	36	6958.858	42	2516.517	725	3.4710582	20.138889	.0838306	.0517285	.0139119	0	.0936722	.2753049
