var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,outcome,panel,estimator,model_id
Tp5,.6133163,.22877952,2.680818131333967,.007344241855691,.1649166689840351,1.061715926078221,1711,l_ship,4d,dr,3
Tp6,.6975382,.24682622,2.826029611885903,.0047128907022271,.213767702106447,1.181308691974669,1711,l_ship,4d,dr,3
Tp7,.61967498,.24447079,2.534760821806106,.0112524125173048,.1405210369123565,1.098828924368466,1711,l_ship,4d,dr,3
Tp8,.66747624,.25286064,2.639700068182394,.0082979428754799,.1718784980950172,1.163073975545425,1711,l_ship,4d,dr,3
Tp9,.73144323,.25947702,2.818913321428194,.0048186528434739,.2228776136740336,1.240008839000832,1711,l_ship,4d,dr,3
Tp10,.95746887,.30321488,3.157723902304682,.0015900607666084,.3631786271512697,1.551759107452612,1711,l_ship,4d,dr,3
Tp11,1.0193344,.30057028,3.391334757495069,.0006955309041818,.4302275130945667,1.608441357831337,1711,l_ship,4d,dr,3
Tp12,.93910664,.31076458,3.021923027018194,.0025117440912708,.3300192568377566,1.548194029562085,1711,l_ship,4d,dr,3
Tp13,.91540474,.30045,3.046778983415942,.0023130771833977,.3265335633546815,1.504275910636713,1711,l_ship,4d,dr,3
Pre_avg,-.084599495,.093523271,-.9045822893498106,.3656867214649555,-.2679017385588833,.0987027486907193,4046,l_ship,5d,ols,2
Post_avg,.82348442,.18459125,4.461123844610816,8.15309541835e-06,.4616922215973931,1.185276619955341,4046,l_ship,5d,ols,2
Tm2,-.16230741,.16038337,-1.011996492475341,.3115397304958321,-.4766530472091785,.152038224344646,4046,l_ship,5d,ols,2
Tm1,-.0068915845,.19628637,-.03510984818435,.9719921485395593,-.3916057913098187,.3778226223308296,4046,l_ship,5d,ols,2
Tp0,.44566286,.19250664,2.315051851929831,.0206100945555483,.0683567726641526,.822968939539827,4046,l_ship,5d,ols,2
Tp1,.62018496,.18061951,3.433654341948838,.0005955030652312,.2661772273408269,.9741926886213923,4046,l_ship,5d,ols,2
Tp2,.38004968,.22851807,1.663105581605348,.0962913028165511,-.0678375089428519,.8279368603489493,4046,l_ship,5d,ols,2
Tp3,.46816641,.26275575,1.781755139724747,.0747891707044848,-.0468253989629605,.9831582208089688,4046,l_ship,5d,ols,2
Tp4,.65951407,.23475286,2.809397335203419,.0049634346856453,.1994069115442628,1.119621227570117,4046,l_ship,5d,ols,2
Tp5,.78831428,.23234841,3.39281114587538,.0006917931526065,.3329197629694544,1.243708802818815,4046,l_ship,5d,ols,2
Tp6,1.1142131,.24681859,4.514299841551246,6.35262868531e-06,.6304575674208126,1.597968650612024,4046,l_ship,5d,ols,2
Tp7,.98802131,.23000072,4.29573140728005,.0000174118298322,.5372281876468303,1.438814440641439,4046,l_ship,5d,ols,2
Tp8,.96533424,.22573516,4.276401807928401,.0000189938275288,.5229014574301258,1.407767015813588,4046,l_ship,5d,ols,2
Tp9,.91203779,.23993137,3.80124437925806,.0001439712178155,.4417809364754061,1.382294643167843,4046,l_ship,5d,ols,2
Tp10,.96091908,.27280253,3.522397963497738,.0004276616339645,.4262359451037716,1.495602219225757,4046,l_ship,5d,ols,2
Tp11,.99660438,.26261252,3.794961400683219,.0001476664278326,.481893298671668,1.511315467311914,4046,l_ship,5d,ols,2
Tp12,1.0307614,.31346554,3.288276521421337,.0010080277801459,.4163802008717703,1.645142521372492,4046,l_ship,5d,ols,2
Tp13,1.198998,.29687122,4.038781509926621,.0000537295832981,.6171410847431975,1.780854864048306,4046,l_ship,5d,ols,2
Pre_avg,-.08694496,.097292833,-.8936419811182407,.3715134770806701,-.2776354087508431,.1037454886353722,4046,l_ship,5d,dr,1
Post_avg,.83784425,.19307773,4.339414289801359,.0000142862972272,.4594188591910904,1.216269645981639,4046,l_ship,5d,dr,1
Tm2,-.16608483,.16186544,-1.026067225488985,.3048598976317387,-.4833352645970686,.1511656126119001,4046,l_ship,5d,dr,1
Tm1,-.007805096,.21153916,-.0368966948299303,.9705673750982557,-.422414239108864,.4068040471378004,4046,l_ship,5d,dr,1
Tp0,.45139396,.19712546,2.289881536331232,.0220281848388413,.0650351507022017,.8377527731106644,4046,l_ship,5d,dr,1
Tp1,.61309659,.17653462,3.472953830316067,.0005147638995837,.2670950918871547,.9590980977338169,4046,l_ship,5d,dr,1
Tp2,.39001527,.23867622,1.634076800757182,.1022427254103764,-.077781521229946,.8578120698024863,4046,l_ship,5d,dr,1
Tp3,.48561651,.26848394,1.808735788658811,.0704920601531709,-.040602341383339,1.011835351675392,4046,l_ship,5d,dr,1
Tp4,.68543726,.22603312,3.032463817569006,.0024256617531844,.2424204849041289,1.128454039212387,4046,l_ship,5d,dr,1
Tp5,.81431568,.22315776,3.649058244652863,.0002632034293071,.3769344973956056,1.25169685598269,4046,l_ship,5d,dr,1
Tp6,1.1279378,.24747427,4.557798281365224,5.16926478955e-06,.6428971411968234,1.612978446266556,4046,l_ship,5d,dr,1
Tp7,.99092835,.22599749,4.384687370499395,.0000116152469287,.5479814056475799,1.43387529811066,4046,l_ship,5d,dr,1
Tp8,.98275965,.22768919,4.31623322648098,.0000158714286644,.5364970391228111,1.429022269921073,4046,l_ship,5d,dr,1
Tp9,.92411506,.24069434,3.839371736928087,.0001233495488211,.4523628161517418,1.395867307368156,4046,l_ship,5d,dr,1
Tp10,.99122667,.28169659,3.518774156492547,.0004335456068245,.4391115064684756,1.543341839783966,4046,l_ship,5d,dr,1
Tp11,1.0094228,.28098431,3.592452442754869,.0003275804513507,.4587036467625062,1.560141911403998,4046,l_ship,5d,dr,1
Tp12,1.053097,.33206788,3.171330569523536,.0015174235759723,.4022559302098786,1.703938089107748,4046,l_ship,5d,dr,1
Tp13,1.2104573,.32054648,3.776230306473139,.000159219781408,.582197772665721,1.838716877297658,4046,l_ship,5d,dr,1
