var,coef,stderr,tstat,pval,ci_lower,ci_upper,N,outcome,panel,estimator,model_id
Tp4,.067097582,.025526265,2.62857032777063,.008574462363147,.0170670224856434,.1171281413603725,4046,l_ship_sh,5d,ols,26
Tp5,.096057631,.027627919,3.476831951402267,.0005073757201794,.041907905123844,.1502073570269205,4046,l_ship_sh,5d,ols,26
Tp6,.11605298,.027817838,4.171890647401857,.0000302082612256,.0615310173408239,.1705749381407053,4046,l_ship_sh,5d,ols,26
Tp7,.11707901,.02935154,3.988854160823069,.0000663932223341,.0595510509818525,.1746069732100039,4046,l_ship_sh,5d,ols,26
Tp8,.12934971,.032742079,3.950564873562643,.0000779669603581,.065176412257327,.1935230048569308,4046,l_ship_sh,5d,ols,26
Tp9,.13292615,.034313109,3.873917459345522,.0001070996997861,.0656736937656228,.2001786085472281,4046,l_ship_sh,5d,ols,26
Tp10,.14034654,.035336997,3.97166008676426,.000071373512502,.0710872998534011,.20960578414814,4046,l_ship_sh,5d,ols,26
Tp11,.15058343,.035987984,4.184269657803761,.0000286084359105,.0800482778459268,.2211185844034476,4046,l_ship_sh,5d,ols,26
Tp12,.15569556,.037678797,4.132179656081845,.0000359339377272,.0818464728894343,.2295446422991644,4046,l_ship_sh,5d,ols,26
Tp13,.15912063,.038640387,4.117987553567382,.0000382195332453,.0833868666312006,.234854401765177,4046,l_ship_sh,5d,ols,26
Pre_avg,.0045047994,.012054603,.3736995337670996,.708627872238631,-.0191217875972183,.0281313863515646,4046,l_ship_sh,5d,dr,25
Post_avg,.099606283,.026562205,3.749925300524702,.0001768872552053,.0475453186734881,.1516672473446165,4046,l_ship_sh,5d,dr,25
Tm2,.0055206669,.021647396,.2550268429563365,.798702366862676,-.0369074487192085,.0479487826181105,4046,l_ship_sh,5d,dr,25
Tm1,.0034889316,.013061585,.2671139526708816,.7893814251060001,-.0221113044223355,.029089167566465,4046,l_ship_sh,5d,dr,25
Tp0,.010158575,.011636604,.8729845467377069,.3826715007621151,-.0126487488647406,.0329658991446202,4046,l_ship_sh,5d,dr,25
Tp1,.037402041,.017563747,2.1295023630715,.0332127195847378,.0029777292283606,.0718263532844949,4046,l_ship_sh,5d,dr,25
Tp2,.028048186,.020676324,1.356536366729586,.174928572579782,-.0124766650232945,.0685730362865601,4046,l_ship_sh,5d,dr,25
Tp3,.048980389,.024784293,1.976267337523634,.0481245068579581,.000404067077647,.0975567105030911,4046,l_ship_sh,5d,dr,25
Tp4,.067017347,.026008436,2.5767541517963,.0099732857005381,.0160417478719687,.1179929453691507,4046,l_ship_sh,5d,dr,25
Tp5,.095857933,.027357128,3.503947302305688,.0004584160635772,.0422389485089482,.1494769178183376,4046,l_ship_sh,5d,dr,25
Tp6,.11667991,.027497368,4.243312108210127,.0000220244784073,.0627860634765775,.1705737651147693,4046,l_ship_sh,5d,dr,25
Tp7,.11701715,.030758493,3.804385060805385,.0001421569002662,.0567316121152329,.1773026877352309,4046,l_ship_sh,5d,dr,25
Tp8,.12987015,.033362377,3.892712585190681,.0000991295686092,.0644810883018143,.1952592047241561,4046,l_ship_sh,5d,dr,25
Tp9,.13386115,.034933776,3.83185475305477,.0001271808202097,.0653922121736373,.2023300964620743,4046,l_ship_sh,5d,dr,25
Tp10,.14157227,.034420028,4.113078160898641,.0000390418125324,.0741102509456092,.2090342826885766,4046,l_ship_sh,5d,dr,25
Tp11,.15166746,.035752222,4.242182794833974,.0000221356279979,.0815943934257166,.2217405281727178,4046,l_ship_sh,5d,dr,25
Tp12,.15653472,.036737025,4.260952469801816,.0000203557524652,.0845314710109628,.2285379619628989,4046,l_ship_sh,5d,dr,25
Tp13,.15982072,.037339661,4.280186673256653,.0000186736617132,.0866363292685282,.2330051118382681,4046,l_ship_sh,5d,dr,25
Pre_avg,.0068929992,.020103769,.3428709830115066,.7316955221951353,-.0325096647636868,.0462956631006576,1711,l_y_n,4d,ols,24
Post_avg,.13707097,.082926296,1.652925258434748,.0983460758375814,-.0254615841916504,.2996035216859283,1711,l_y_n,4d,ols,24
Tm5,.011561152,.070363298,.1643065619850567,.869489816182708,-.1263483784342128,.1494706816220599,1711,l_y_n,4d,ols,24
Tm4,.12434678,.068923704,1.80412209431353,.0712121687904821,-.0107412003636017,.2594347559570923,1711,l_y_n,4d,ols,24
Tm3,-.11069591,.1029206,-1.075546724431254,.2821300248626868,-.3124165812936118,.0910247544255545,1711,l_y_n,4d,ols,24
Tm2,-.055922795,.073993422,-.7557806289634446,.4497807326929455,-.2009472374783436,.0891016473041455,1711,l_y_n,4d,ols,24
Tm1,.065175779,.055653997,1.171088923556107,.2415630356272032,-.0439040500924738,.1742556084201486,1711,l_y_n,4d,ols,24
Tp0,-.011868426,.086250022,-.1376048998288051,.8905526828684049,-.1809153625360079,.1571785112461396,1711,l_y_n,4d,ols,24
Tp1,.019679081,.089564271,.2197202122632072,.8260890621998873,-.15586366529827,.1952218266880977,1711,l_y_n,4d,ols,24
Tp2,-.090865314,.092486069,-.9824756893227973,.3258655539127115,-.2721346775470042,.0904040495333933,1711,l_y_n,4d,ols,24
Tp3,.036331758,.096637495,.3759592273677158,.7069472078891534,-.1530742515827515,.2257377673889496,1711,l_y_n,4d,ols,24
Tp4,.083727531,.091088392,.9191899147998103,.3579962453016496,-.0948024362818874,.2622574985520518,1711,l_y_n,4d,ols,24
Tp5,.12679389,.097530782,1.300039723888419,.1935873546691029,-.0643629293491225,.3179507117320876,1711,l_y_n,4d,ols,24
Tp6,.12233224,.10346597,1.182342682722391,.2370697560310457,-.0804573456530289,.3251218209747986,1711,l_y_n,4d,ols,24
Tp7,.16373579,.11717848,1.397319676343794,.162317461452693,-.065929803322336,.3934013874039858,1711,l_y_n,4d,ols,24
Tp8,.13627015,.12442305,1.095216289988029,.2734218906579375,-.1075945451094084,.3801348461939269,1711,l_y_n,4d,ols,24
Tp9,.19394891,.12334874,1.572362369271473,.115866536196209,-.0478101690331065,.4357079883137309,1711,l_y_n,4d,ols,24
Tp10,.31214029,.098577373,3.166449635703154,.0015431206521663,.1189321857278342,.5053483862097268,1711,l_y_n,4d,ols,24
Tp11,.3387222,.10836997,3.125609454849311,.0017743702446285,.126320963286039,.5511234351171288,1711,l_y_n,4d,ols,24
Tp12,.25029472,.1052259,2.378641752166173,.0173765544447118,.0440557442073496,.4565336861248342,1711,l_y_n,4d,ols,24
Tp13,.23775087,.10365776,2.29361384616037,.0218126893548594,.0345853971884678,.440916348750787,1711,l_y_n,4d,ols,24
Pre_avg,.0038821991,.021137716,.1836621806493967,.8542784796129905,-.0375469635025729,.0453113616229166,1711,l_y_n,4d,dr,23
Post_avg,.16021247,.077986419,2.054363743364962,.0399404994680412,.0073618991641829,.3130630449981858,1711,l_y_n,4d,dr,23
Tm5,.017406082,.064956106,.2679668284764588,.7887248522732262,-.1099055470363807,.1447177105979633,1711,l_y_n,4d,dr,23
Tm4,.10990522,.068563402,1.602972108218443,.1089408121334214,-.0244765774195419,.2442870185559021,1711,l_y_n,4d,dr,23
Tm3,-.090485655,.086399496,-1.047293785006723,.2949641016400113,-.2598255544329967,.0788542448903407,1711,l_y_n,4d,dr,23
Tm2,-.078523472,.061533224,-1.276115032729438,.201914858316804,-.1991263745258497,.0420794306228804,1711,l_y_n,4d,dr,23
Tm1,.061108828,.056796476,1.075926388943912,.2819601788735899,-.0502102202978982,.1724278754797829,1711,l_y_n,4d,dr,23
